id	type	label_de	label_en	parent	comment_de
BW_0000033	Individual	Griechisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000034	Individual	Hebräisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000035	Individual	Imformatik, Mathematik, Physik (IMP) - Profilfach			
BW_0000036	Individual	Informatik - Wahlfach in der Oberstufe (Schulversuch)			
BW_0000037	Individual	Informatik (Schulversuch)			
BW_0000038	Individual	Islamische Religionslehre sunnitischer Prägung			
BW_0000039	Individual	Italienisch als dritte Fremdsprache - Profilfach			
BW_0000040	Individual	Italienisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000041	Individual	Japanisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000042	Individual	Jüdische Religionslehre			
BW_0000043	Individual	Katholische Religionslehre			
BW_0000044	Individual	Kunst/Werken			
BW_0000045	Individual	Latein als dritte Fremdsprache - Profilfach			
BW_0000046	Individual	Latein als erste Fremdsprache			
BW_0000047	Individual	Latein als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000048	Individual	Latein als zweite Fremdsprache			
BW_0000049	Individual	Literatur - Wahlfach in der Oberstufe			
BW_0000050	Individual	Literatur und Theater			
BW_0000051	Individual	Mathematik			
BW_0000052	Individual	Musik			
BW_0000053	Individual	Musik - Profilfach			
BW_0000054	Individual	Naturwissenschaft und Technik (NwT) - Basisfach in der Kursstufe			
BW_0000055	Individual	Naturwissenschaft und Technik (NwT) - Profilfach			
BW_0000056	Individual	Naturwissenschaft und Technik (NwT) - Schulversuch Leistungsfach in der Kursstufe			
BW_0000057	Individual	Orthodoxe Religionslehre			
BW_0000058	Individual	Philosophie - Wahlfach in der Oberstufe			
BW_0000059	Individual	Physik			
BW_0000060	Individual	Portugiesisch als dritte Fremdsprache - Profilfach			
BW_0000061	Individual	Portugiesisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000062	Individual	Psychologie - Wahlfach in der Oberstufe			
BW_0000063	Individual	Russisch als dritte Fremdsprache - Profilfach			
BW_0000064	Individual	Russisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000065	Individual	Russisch als zweite Fremdsprache			
BW_0000066	Individual	Sachunterricht			
BW_0000067	Individual	Spanisch als dritte Fremdsprache - Profilfach			
BW_0000068	Individual	Spanisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000069	Individual	Sport			
BW_0000070	Individual	Sport - Profilfach			
BW_0000071	Individual	Sport - Wahlpflichtfach			
BW_0000072	Individual	Syrisch-Orthodoxe Religionslehre			
BW_0000073	Individual	Technik - Wahlpflichtfach			
BW_0000074	Individual	Türkisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe			
BW_0000075	Individual	Wirtschaft			
BW_0000076	Individual	Wirtschaft / Berufs- und Studienorientierung (WBS)			
BY_0000000	Individual	Schulfächer (Bayern)			
BY_0000001	Individual	Deutsch			
BY_0000002	Individual	Deutsch als Zweitsprache			
BY_0000003	Individual	Englisch			
BY_0000004	Individual	Ethik			
BY_0000005	Individual	Evangelische Religionslehre			
BY_0000006	Individual	Heimat- und Sachunterricht			
BY_0000007	Individual	Islamischer Unterricht			
BY_0000008	Individual	Katholische Religionslehre			
BY_0000009	Individual	Kunst			
BY_0000010	Individual	Mathematik			
BY_0000011	Individual	Musik			
BY_0000012	Individual	Orthodoxe Religionslehre			
BY_0000013	Individual	Sport			
BY_0000014	Individual	Werken und Gestalten			
BY_0000015	Individual	Buchführung			
BY_0000016	Individual	Ernährung und Soziales			
BY_0000017	Individual	Geschichte/Politik/Geographie			
BY_0000018	Individual	Informatik			
BY_0000019	Individual	Informatik und digitales Gestalten			
BY_0000020	Individual	Natur und Technik			
BY_0000021	Individual	Tastenschreiben (Lehrgang)			
BY_0000022	Individual	Technik			
BY_0000023	Individual	Wirtschaft und Beruf			
BY_0000024	Individual	Wirtschaft und Kommunikation			
BY_0000025	Individual	Betriebswirtschaftslehre / Rechnungswesen			
BY_0000026	Individual	Biologie			
BY_0000027	Individual	Chemie			
BY_0000028	Individual	Ernährung und Gesundheit			
BY_0000029	Individual	Französisch			
BY_0000030	Individual	Geographie			
BY_0000031	Individual	Geschichte			
BY_0000032	Individual	Informationstechnologie			
BY_0000033	Individual	Israelitische Religionslehre			
BY_0000034	Individual	Physik			
BY_0000035	Individual	Politik und Gesellschaft			
BY_0000036	Individual	Soziallehre			
BY_0000037	Individual	Sozialwesen			
BY_0000038	Individual	Spanisch			
